交易日期,开盘价,最高价,最低价,收盘价,成交量（手）
20180920,64.4,64.85,64.03,64.39,164165.71
20180919,62.99,65.53,62.9,64.44,411364.31
20180918,61.62,63.6,61.01,63.21,263861.24
20180917,61.4,62.56,61.03,61.86,235508.59
20180914,60.45,62.16,59.7,61.53,294960.29
20180913,60.39,60.65,58.58,59.98,206865.36
20180912,61,61,59.59,59.65,191607.79
20180911,60.38,61.35,60.2,61,202919.36
20180910,60.92,60.96,59.28,60.38,195919.16
20180907,60.3,61.15,59.8,60.77,222726.04
20180906,60.5,61.64,59.18,59.71,319221.95
20180905,62.75,62.75,60.8,60.9,217130.48
20180904,62.27,62.96,61.6,62.77,194838.65
20180903,61.1,62.17,61.09,61.97,208324.53
20180831,62.99,62.99,61.63,61.9,244560.55
20180830,63.7,64.5,63.12,63.4,189692.37
20180829,64.29,64.51,63.34,63.68,242285.64
20180828,66.03,66.18,63.97,64.3,390976.78
20180827,63.1,65.31,63.1,65.31,340401.26
20180824,63.9,63.9,62.5,62.96,184769.28
20180823,63.98,64.83,63.18,64.15,178918.1
20180822,63.99,64.37,63.28,63.69,147732.68
20180821,62.05,64.66,61.9,64.33,355392.12
20180820,60.99,62.15,59.58,62.03,291249.79
20180817,61.85,62.3,60.3,60.61,259935.42
20180816,62.33,63.41,61.14,61.15,308055.73
20180815,65.11,65.11,63.28,63.33,207112.86
20180814,64.99,65.92,64.11,65.1,294337.38
20180813,65.25,65.25,63.1,64.41,365521.37
20180810,66.26,67.19,65.34,66.05,212833.69
20180809,64.1,66.5,63.82,66.36,263990.41
20180808,66.6,66.6,64.24,64.44,236818.12
20180807,65,66.67,64,66.48,277343.78
20180806,65.09,66,63.88,64.34,257040.67
20180803,68,68,65.66,65.67,264072.1
20180802,70,70.02,66.62,67.92,335334.44
20180801,72.8,72.8,69.98,70.02,260916.72
20180731,72.4,72.96,71.73,72.15,149531.96
20180730,74.24,74.4,71.93,72.6,198721.02
20180727,74,74.97,73.38,74.19,163949.08
20180726,75.11,75.28,74,74.19,203077.25
20180725,75.14,75.5,74.52,75,235532.11
20180724,72.25,75.14,71.58,75.03,379244.39
20180723,73,73.9,70.81,72.12,298994.6
20180720,73.18,73.83,71.5,73.43,250617.59
20180719,73.98,74.11,72.95,73.38,144567.06
20180718,74.38,74.8,73.18,73.31,166593.54
20180717,75.5,75.67,73.15,74.04,189545.7
20180716,75.63,76.69,74.9,75.42,204077.27
20180713,74.25,75.9,73.51,75.75,275656.53
20180712,72,74.77,71.98,73.9,283136.29
20180711,71.2,72.64,70.93,72.08,191724.67
20180710,73.57,74.13,72.08,73.37,220143.56
20180709,71.58,73.55,70.4,73.54,321101.14
20180706,69.9,71.98,68.88,70.62,331769.15
20180705,71.69,72.71,69.7,70.82,328583.02
20180704,72.08,72.97,70.55,70.7,248263.84
20180703,73.6,74.9,69.58,72.38,417057.67
20180702,76.01,77.76,73.53,74.28,262214.08
20180629,74,76.68,73.3,76,229573.58
20180628,75.22,75.74,73.07,73.65,332434.47
20180627,81,81.6,76.29,76.55,422711.93
20180626,81.9,82.93,80.05,81.48,289825.18
20180625,81.02,83.67,81.02,82.11,366609.63
20180622,80.4,80.7,79.03,80.18,248933.8
20180621,81.7,83.36,80.8,80.88,265823.82
20180620,80,82.2,79.59,82.06,263426.17
20180619,82,82.73,79.29,79.88,380422.3
20180615,84,84.51,82.61,83.25,240696.32
20180614,85.38,86.11,82.65,84.41,265874.16
20180613,85.79,86.66,85.03,85.47,286972.53
20180612,82.83,86.47,82.16,86,460432.4
20180611,80.35,83.58,80.08,82.48,417894.36
20180608,80.33,81.49,79.13,80.39,256876.84
20180607,82.4,82.78,80.44,80.85,240228.67
20180606,82.75,83.6,81.8,82.11,281190.42
20180605,82,83.73,80.62,82.8,395105.95
20180604,78.88,82.13,77.9,81.8,457021.4
20180601,78.64,79.9,77.74,78.62,276379.2
20180531,77.79,79.59,76.85,78.98,415294.27
20180530,75.65,78.08,74.1,76.8,267655.7
20180529,77.5,79.16,76.13,76.34,329253.26
20180528,74.88,77.45,74.26,77.45,349508.78
20180525,74.02,75.66,74.01,74.3,247337.27
20180524,76.4,76.98,74,74.02,288808.5
20180523,77.5,78.14,76.33,76.44,194626.06
20180522,76.9,78.08,76.15,77.65,172875.56
20180521,78.1,79.06,76.62,77.18,186791.08
20180518,76.91,77.98,75.5,77.59,216570.75
20180517,79.4,79.64,76.6,77.07,268731.52
20180516,79.43,80.11,78.95,79.17,261351.49
20180515,78.31,79.5,77.48,79.38,233696.01
20180514,77.66,78.98,77.3,78.32,228929.25
20180511,78.55,79.35,77,77.06,222389.63
20180510,76.37,78.19,76.35,77.98,283044.27
20180509,75.8,76.37,74.85,76.25,209262.2
20180508,75.8,76.85,75.33,76.04,285320.17
20180507,73.28,76.18,72.98,76,344448.73
20180504,73.55,73.94,72.8,72.9,198829.75
20180503,71.29,73.98,70.5,73.8,319841.17
20180502,69.2,71.25,68.01,71.22,348306.25
20180427,69.97,69.97,66.8,67.98,236215.86
20180426,71.9,71.91,68.8,69.1,283516.99
20180425,71.91,72.65,71.7,72.34,174748.27
20180424,70,72.6,70,72.43,369737.42
20180423,69.3,70.5,68.68,69.69,214696.76
20180420,70,71.35,68.88,69.63,307060.27
20180419,67.3,70.5,66.42,70.37,370867.67
20180418,67.6,67.94,65.15,66.33,239505.33
20180417,68.4,68.75,66.6,67,200557.26
20180416,67.7,68.98,67.01,67.97,223977.6
20180413,69.89,70.25,67.53,67.98,236599.99
20180412,70.29,70.7,69.15,69.2,207163.96
20180411,70.76,71.4,70.01,70.31,240838.7
20180410,69.75,70.38,69.25,70.38,207430.86
20180409,69.89,70.59,68.85,69.75,241021.41
20180404,67.48,70.66,67.41,69.9,500768.76
20180403,65.9,67.64,65.83,67.12,396232.08
20180402,65.9,67.81,65.02,66.43,331057.4
20180330,67.25,67.65,65.91,66.36,314311.19
20180329,65.5,67.85,63.88,67.5,522912.2
20180328,67.1,68.16,64.66,64.74,662488.5
20180327,71,71.55,67.3,68.47,541147.58
20180326,70.53,71,69.1,69.99,278668.06
20180323,70,71.48,68.8,71.37,321383.45
20180322,74.08,74.61,72,72.13,328495.45
20180321,76.32,76.58,74.18,74.52,243100.66
20180320,76.56,76.95,74.63,75.65,239324.35
20180319,76.34,78.15,76,77.71,210195.73
20180316,78.2,78.74,76.82,76.87,205189.37
20180315,75.68,78.28,75.67,78,373403.76
20180314,74,75.67,73.1,75.55,240224.56
20180313,76.24,76.99,74.5,74.61,231137.6
20180312,77.6,77.8,75.46,76.15,242334.36
20180309,77.3,78.39,76.18,77.1,245528.54
20180308,73.79,76.96,73.3,76.9,395204.11
20180307,73.24,75.08,73,73.28,283760.8
20180306,72.76,73.31,70.02,73.24,406942.35
20180305,73.81,74.48,72.01,72.09,211151.32
20180302,73.8,74.8,72.5,73.42,246606.97
20180301,73.8,75.46,73.53,74.32,254649.28
20180228,74,75.78,73,74.28,330101.9
20180227,78.99,79.1,75.9,76.1,290749.02
20180226,79.6,79.95,77,78.52,320269.64
20180223,80.01,80.98,78.52,79.64,189117.04
20180222,77.8,80.23,77.6,80.1,290978.29
20180214,76.1,76.66,74.52,76.6,208043.03
20180213,75.09,76.95,75,75.1,283840.41
20180212,72,75,72,74.4,446022.48
20180209,69.22,71.4,66.93,71.2,588920.94
20180208,70.85,73.88,70.85,72.02,544906.99
20180207,77.59,78.1,70.12,71.02,703814.93
20180206,76,77.75,74.9,76.44,541969.19
20180205,79.31,79.7,75.17,77.87,713302.26
20180202,82.15,83.88,80.73,82.28,348582.28
20180201,83.6,83.85,81.18,82.98,445689.53
20180131,81.32,85.09,81.32,84.38,417881.43
20180130,81.1,83.08,80.12,81.4,374621.77
20180129,86.6,86.6,81.7,82.08,591383.27
20180126,85.5,87.77,85.12,86.84,312053.75
20180125,86.6,87.09,84.18,86,421128.92
20180124,89.58,89.58,86.66,87.35,349695.75
20180123,90.42,90.8,88.41,89.71,384681.66
20180122,85.67,90.5,85.67,90.42,445823.53
20180119,86.4,86.88,84.31,85.17,382003.65
20180118,86.31,88.35,84.3,86.4,429700.9
20180117,90.3,91.12,85.65,86.01,496108.96
20180116,90.61,92.5,89.87,90.82,366155.22
20180115,91.2,93.18,90.68,91.75,379644.08
20180112,87.96,91.75,87.62,91.37,320923.56
20180111,88.74,89.78,87.33,87.96,254778.62
20180110,86.49,89.16,85.01,88.9,342458.66
20180109,82.4,86.1,82.36,86.1,388364.6
20180108,82.59,83.61,81.6,82.2,286818.34
20180105,82.77,83.45,81.4,82.68,231958.09
20180104,80.79,83.61,80.6,82.99,360577.06
20180103,80.5,81.76,79.85,80.9,284614.26
20180102,80.2,81,78.33,80.58,315252.33
20171229,81,81.96,78,79.88,427447.27
20171228,79.99,81.98,78.44,80.86,526705.72
20171227,79.25,79.94,77.86,77.9,263330.42
20171226,80.39,80.69,78.5,79.47,238166.21
20171225,80.6,81.49,78.61,80.56,357631.42
20171222,81.98,82.5,80,80.58,351801.74
20171221,81.47,83.58,80.5,82.15,379395.47
20171220,78.86,81.69,78.03,81.6,341029.59
20171219,76.5,79.81,76.5,78.42,379556.63
20171218,75,77.08,74.6,77.08,505532.94
20171215,74.31,75.45,72.89,72.95,230981.42
20171214,74.2,74.88,73.41,74.69,209673.13
20171213,72,74.35,71.4,74.15,299515.04
20171212,72.26,73,71.3,71.86,278245.09
20171211,68.7,72.24,68.68,71.9,479977.86
20171208,65.71,68.05,65.69,67.9,256992.12
20171207,68,68.8,65.8,65.96,231990
20171206,68.4,69.5,67.5,68.32,239022.58
20171205,67.65,69.59,67.36,68.32,342025.92
20171204,65.2,68.71,64.03,67.95,406862.45
20171201,66.21,66.65,64.91,65.3,211729.61
20171130,66.22,67.5,64.53,65.6,217441.43
20171129,69,69.2,65.54,66.22,258542.41
20171128,67.38,69.38,67,68.68,246912.62
20171127,67.77,68.68,66.01,67.59,280978.04
20171124,67.57,68.48,64.87,68.46,467337.07
20171123,71.25,71.25,67,67.57,485861.64
20171122,73.95,75.9,71.54,71.9,395239.66
20171121,72.69,74.44,71.2,73.95,308197.65
20171120,73.3,73.3,70.07,72.93,323102.08
20171117,74,75.6,72.2,74.86,470335.96
20171116,74.6,76.76,74.18,76.2,344457.47
20171115,71.95,74.87,71.7,74.8,330505.79
20171114,74.32,74.4,72.1,72.19,294816.15
